,prob_0,prob_1,Class_0,Class_1,Gender,Race,Hispanic,Age,Income,Residence,Child,Assisted_Living,State,Vaccine,Chronic,Vulnerable_contact,Health_Insurance,News,Political,Self_employed,Remote,Education,Pregnant,Vehicle
32,1.3485866601140869e-86,1.0,0.0,1.0,Female,White,No,35-49,"$75,000 - 150,000",Urban,Yes,No,Florida,Yes,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,Yes,Undergraduate degree,No,No
33,1.0,6.439789139094674e-166,1.0,0.0,Female,White,No,35-49,"> $150,000",Rural,No,No,Connecticut,Yes,No,No,Yes,News apps or websites,Independent,No,Yes,Undergraduate degree,No,Yes
34,9.262325654494224e-48,1.0,0.0,1.0,Female,Black or African American,No,35-49,"$75,000 - 150,000",Urban,Yes,No,California,Yes,No,No,Yes,TV (including cable),Democrat,No,Yes,Undergraduate degree,No,Yes
35,3.889724144803587e-09,0.9999999961102759,0.0,1.0,Male,White,Yes,35-49,"> $150,000",Suburban,Yes,Yes,Pennsylvania,Yes,Yes,Yes,Yes,TV (including cable),Democrat,No,No,Postgraduate degree,Yes,Yes
36,1.0,2.4684163218182147e-30,1.0,0.0,Female,Asian/Asian American,No,35-49,"$75,000 - 150,000",Suburban,No,Yes,Texas,Yes,No,No,No,"Print media (newspapers, journals)",Republican,No,No,Postgraduate degree,No,No
37,1.0,3.5103728808917462e-146,1.0,0.0,Female,White,No,25-34,"$35,000 - 75,000",Suburban,No,No,Louisiana,No,Yes,No,No,News apps or websites,Independent,No,No,Postgraduate degree,No,Yes
38,1.3080816346834856e-79,1.0,0.0,1.0,Female,"Black or African American,White",No,35-49,"$75,000 - 150,000",Suburban,Yes,No,California,No,No,No,No,News apps or websites,Republican,No,No,"1 or more years of college credit, no degree",No,Yes
39,1.8212576194995905e-108,1.0,0.0,1.0,Female,White,No,35-49,"$75,000 - 150,000",Suburban,No,No,Massachusetts,Yes,No,Yes,Yes,"Print media (newspapers, journals)",Democrat,No,Yes,Postgraduate degree,No,Yes
40,2.791741353850112e-10,0.9999999997208258,0.0,1.0,Male,White,No,25-34,"$75,000 - 150,000",Urban,Yes,Yes,Pennsylvania,Yes,Yes,Yes,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,Yes,Yes,Some college credits,Yes,Yes
41,1.0,1.0117389756952665e-85,1.0,0.0,Male,White,No,25-34,"$75,000 - 150,000",Rural,Yes,No,Pennsylvania,No,No,No,Yes,TV (including cable),Republican,No,No,Undergraduate degree,No,Yes
42,9.854349810527992e-116,1.0,0.0,1.0,Male,White,No,35-49,"$75,000 - 150,000",Suburban,No,No,California,No,No,No,No,TV (including cable),Republican,No,No,"1 or more years of college credit, no degree",No,No
43,1.0,3.949209000370047e-60,1.0,0.0,Male,White,Yes,25-34,"$75,000 - 150,000",Urban,No,No,Alabama,Yes,No,No,Yes,"Print media (newspapers, journals)",Democrat,No,Yes,Postgraduate degree,No,Yes
44,2.093116788769691e-120,1.0,0.0,1.0,Female,Black or African American,No,50-64,"< $35,000",Urban,No,No,Texas,Yes,Yes,Yes,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,Yes,"1 or more years of college credit, no degree",No,No
45,1.0,1.6826747156346484e-166,1.0,0.0,Female,Black or African American,No,50-64,"< $35,000",Suburban,No,No,Mississippi,No,No,No,Yes,Radio or podcasts,Independent,No,"NA (studying, retired, not in paid employment)","1 or more years of college credit, no degree",No,Yes
46,3.50303678160576e-92,1.0,0.0,1.0,Male,Black or African American,No,25-34,"$75,000 - 150,000",Suburban,Yes,Yes,Florida,Yes,Yes,Yes,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Republican,Yes,Yes,Undergraduate degree,No,Yes
47,0.017420852467374022,0.982579147532626,0.0,1.0,Female,Black or African American,No,50-64,"$35,000 - 75,000",Rural,No,No,Mississippi,Yes,No,No,Yes,TV (including cable),Democrat,No,"NA (studying, retired, not in paid employment)",Postgraduate degree,No,Yes
48,4.824688084905919e-43,1.0,0.0,1.0,Female,Black or African American,No,35-49,"$75,000 - 150,000",Rural,Yes,No,Mississippi,No,No,No,Yes,News apps or websites,Democrat,No,Yes,High school or GED,No,No
49,1.0,7.452128118824349e-132,1.0,0.0,Male,Black or African American,No,50-64,"$35,000 - 75,000",Urban,No,No,Michigan,Yes,Yes,No,Yes,TV (including cable),Democrat,No,"NA (studying, retired, not in paid employment)","1 or more years of college credit, no degree",No,Yes
50,3.8177448188880833e-62,1.0,0.0,1.0,Female,Chinese,No,35-49,"> $150,000",Urban,Yes,No,Texas,Yes,No,No,Yes,TV (including cable),Independent,No,Yes,Undergraduate degree,No,Yes
51,2.8764522310385794e-45,1.0,0.0,1.0,Female,Black or African American,No,50-64,"$35,000 - 75,000",Suburban,No,No,Arkansas,No,No,No,Yes,TV (including cable),Democrat,No,No,Associate’s degree,No,No
52,1.0,8.464072393062736e-91,1.0,0.0,Female,Black or African American,Yes,35-49,"< $35,000",Urban,Yes,Yes,Georgia,Yes,Yes,Yes,Yes,TV (including cable),Republican,Yes,Yes,Associate’s degree,Yes,Yes
53,1.0,2.257671293912889e-18,1.0,0.0,Female,Black or African American,No,35-49,"< $35,000",Urban,Yes,No,Louisiana,Yes,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,Yes,High school or GED,No,Yes
54,0.992102688632762,0.00789731136723784,1.0,0.0,Male,Black or African American,No,25-34,"$35,000 - 75,000",Urban,No,No,Indiana,No,No,No,No,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Independent,Yes,No,High school or GED,No,No
55,2.70844326419262e-24,1.0,0.0,1.0,Female,Black or African American,No,≥ 65,"< $35,000",Suburban,Yes,No,Georgia,No,Yes,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,"NA (studying, retired, not in paid employment)","1 or more years of college credit, no degree",No,Yes
56,1.0018633833974977e-70,1.0,0.0,1.0,Female,Asian/Asian American,No,25-34,"$35,000 - 75,000",Suburban,Yes,No,New York,Yes,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,No,High school or GED,Yes,Yes
57,1.0,1.1420582019808428e-22,1.0,0.0,Male,"Black or African American,American Indian or Native American or Alaskan Native",No,50-64,"< $35,000",Suburban,No,No,Oklahoma,Yes,Yes,No,Yes,TV (including cable),Democrat,No,Yes,Some college credits,No,Yes
58,4.1087699611416404e-47,1.0,0.0,1.0,Female,Asian Indian,No,≥ 65,"$35,000 - 75,000",Urban,No,No,Illinois,Yes,No,No,Yes,TV (including cable),Democrat,No,No,Undergraduate degree,No,Yes
59,1.374627112440199e-70,1.0,0.0,1.0,Female,White,Yes,35-49,"< $35,000",Urban,Yes,No,California,Yes,No,No,Yes,Radio or podcasts,Democrat,No,No,High school or GED,No,Yes
60,6.380180437059637e-138,1.0,0.0,1.0,Male,Black or African American,No,50-64,"$35,000 - 75,000",Urban,No,No,Florida,Yes,Yes,No,Yes,TV (including cable),Democrat,No,No,Postgraduate degree,No,No
61,1.0,2.6078481954902307e-114,1.0,0.0,Female,"Asian Indian,White",No,35-49,"< $35,000",Suburban,No,No,Florida,Yes,Yes,Yes,Yes,News apps or websites,Independent,No,"NA (studying, retired, not in paid employment)","1 or more years of college credit, no degree",No,Yes
62,3.183404014464119e-48,1.0,0.0,1.0,Male,Black or African American,Yes,25-34,"$35,000 - 75,000",Suburban,No,No,Texas,No,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Republican,Yes,Yes,High school or GED,No,No
63,1.0,3.133509032325541e-19,1.0,0.0,Female,Black or African American,No,25-34,"< $35,000",Suburban,Yes,No,Georgia,No,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Republican,Yes,Yes,Some college credits,Yes,Yes
64,3.730313846794745e-32,1.0,0.0,1.0,Male,Asian/Asian American,No,50-64,"$75,000 - 150,000",Suburban,No,No,California,Yes,No,No,Yes,TV (including cable),Democrat,No,No,Some college credits,No,Yes
65,1.6127478629896608e-83,1.0,0.0,1.0,Male,"Asian/Asian American,Filipino",No,35-49,"< $35,000",Urban,No,No,California,Yes,No,Yes,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Republican,Yes,"NA (studying, retired, not in paid employment)",Undergraduate degree,No,Yes
66,1.0864364702002792e-144,1.0,0.0,1.0,Female,American Indian or Native American or Alaskan Native,No,25-34,"$35,000 - 75,000",Suburban,Yes,No,Washington,No,No,No,Yes,"Print media (newspapers, journals)",Republican,Yes,Yes,High school or GED,No,Yes
67,1.3808157953806059e-132,1.0,0.0,1.0,Female,Black or African American,No,50-64,"< $35,000",Rural,No,No,Alabama,Yes,Yes,Yes,Yes,TV (including cable),Democrat,No,No,Postgraduate degree,No,Yes
68,1.4648291158909316e-85,1.0,0.0,1.0,Male,Black or African American,Yes,25-34,"$35,000 - 75,000",Suburban,Yes,Yes,Texas,Yes,Yes,Yes,Yes,TV (including cable),Independent,Yes,Yes,High school or GED,Yes,Yes
69,1.0,6.525180774794261e-68,1.0,0.0,Male,Prefer not to answer,Yes,50-64,"< $35,000",Urban,No,No,Colorado,Yes,No,No,Yes,TV (including cable),Independent,Yes,Yes,High school or GED,No,Yes
70,1.5161615735313093e-192,1.0,0.0,1.0,Male,Black or African American,No,50-64,"$35,000 - 75,000",Urban,No,No,Ohio,Yes,Yes,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,No,Associate’s degree,No,No
71,1.0,5.706613666995926e-128,1.0,0.0,Male,Black or African American,No,≥ 65,"> $150,000",Suburban,No,No,Virginia,Yes,No,No,Yes,TV (including cable),Independent,No,Yes,Postgraduate degree,No,Yes
72,2.726144577731791e-78,1.0,0.0,1.0,Female,Self-define,No,25-34,"$35,000 - 75,000",Urban,No,No,Massachusetts,Yes,No,Yes,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Independent,No,No,Some college credits,No,No
73,1.0,3.461225807993408e-119,1.0,0.0,Female,Black or African American,No,35-49,"< $35,000",Urban,Yes,No,Ohio,Yes,Yes,Yes,Yes,TV (including cable),Democrat,No,No,Undergraduate degree,Yes,Yes
74,1.0,4.366506357646098e-57,1.0,0.0,Male,Self-define,Yes,25-34,"< $35,000",Urban,No,No,Colorado,No,No,No,No,TV (including cable),Independent,Yes,Yes,High school or GED,No,Yes
75,1.0380445909288494e-213,1.0,0.0,1.0,Female,Black or African American,No,≥ 65,"$35,000 - 75,000",Suburban,No,No,Maryland,Yes,No,No,Yes,TV (including cable),Democrat,No,"NA (studying, retired, not in paid employment)",Associate’s degree,No,No
76,1.0,3.2172731240226893e-127,1.0,0.0,Female,"Asian/Asian American,Chinese",No,18-24,"< $35,000",Suburban,No,No,Arizona,Yes,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,"NA (studying, retired, not in paid employment)",Undergraduate degree,No,Yes
77,2.6852363085110196e-27,1.0,0.0,1.0,Male,Black or African American,No,50-64,"< $35,000",Urban,No,No,Louisiana,Yes,No,No,No,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,No,"1 or more years of college credit, no degree",No,Yes
78,1.0373058534754165e-79,1.0,0.0,1.0,Male,Self-define,Yes,25-34,"$75,000 - 150,000",Urban,No,No,Texas,Yes,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,No,High school or GED,No,Yes
79,4.9851030390131215e-180,1.0,0.0,1.0,Female,White,Yes,50-64,"< $35,000",Suburban,No,No,Florida,Yes,No,No,No,TV (including cable),Democrat,No,"NA (studying, retired, not in paid employment)",Some college credits,No,No
80,1.0,5.062675693701368e-107,1.0,0.0,Female,Black or African American,No,25-34,"$75,000 - 150,000",Rural,No,No,North Caroline,No,No,No,Yes,TV (including cable),Democrat,No,Yes,High school or GED,No,No
81,1.0,4.638507267402801e-175,1.0,0.0,Male,Asian/Asian American,No,≥ 65,"< $35,000",Rural,No,No,Oregon,Yes,No,No,Yes,Do not read/listen/watch the news,Republican,No,No,Some college credits,No,Yes
82,3.098498297244672e-103,1.0,0.0,1.0,Female,White,Yes,50-64,"< $35,000",Suburban,Yes,No,Oregon,Yes,No,No,No,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,"NA (studying, retired, not in paid employment)",High school or GED,No,No
83,1.0,5.1235446573747974e-111,1.0,0.0,Female,Black or African American,No,25-34,"< $35,000",Suburban,Yes,No,Louisiana,No,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,No,High school or GED,No,No
84,1.0,3.410159583120972e-114,1.0,0.0,Female,American Indian or Native American or Alaskan Native,No,35-49,"< $35,000",Suburban,Yes,No,Alabama,Yes,Yes,Yes,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Independent,No,No,Some college credits,No,Yes
85,5.245110539750191e-99,1.0,0.0,1.0,Male,Black or African American,No,35-49,"< $35,000",Urban,Yes,No,Ohio,Yes,No,No,Yes,TV (including cable),Democrat,Yes,No,High school or GED,No,No
86,1.0,1.5291667662047513e-64,1.0,0.0,Male,Asian/Asian American,No,≥ 65,"$35,000 - 75,000",Suburban,No,No,Oklahoma,Yes,Yes,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Independent,No,"NA (studying, retired, not in paid employment)",Postgraduate degree,No,Yes
87,8.348346489313071e-81,1.0,0.0,1.0,Female,Black or African American,No,25-34,"< $35,000",Urban,Yes,No,Mississippi,Yes,No,Yes,No,News apps or websites,Other,No,No,High school or GED,No,No
88,1.0,4.9650556775482055e-79,1.0,0.0,Female,Prefer not to answer,Yes,18-24,"< $35,000",Suburban,No,No,Oregon,No,No,No,No,TV (including cable),Independent,Yes,No,High school or GED,No,No
89,2.4321788704630842e-21,1.0,0.0,1.0,Female,Prefer not to answer,Yes,35-49,"< $35,000",Suburban,Yes,No,Florida,Yes,No,No,Yes,Do not read/listen/watch the news,Other,No,No,High school or GED,No,No
90,1.0,4.1159863277520833e-20,1.0,0.0,Female,Black or African American,No,≥ 65,"< $35,000",Urban,No,No,Illinois,Yes,Yes,No,Yes,TV (including cable),Democrat,No,"NA (studying, retired, not in paid employment)",Some college credits,No,No
91,1.0,8.540020938866414e-134,1.0,0.0,Female,Black or African American,No,35-49,"$35,000 - 75,000",Urban,Yes,No,New York,Yes,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,Yes,High school or GED,No,No
92,1.0,4.472488599115411e-171,1.0,0.0,Female,Self-define,Yes,25-34,"< $35,000",Urban,No,No,California,No,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Republican,Yes,No,High school or GED,No,Yes
93,1.5716135559913906e-247,1.0,0.0,1.0,Female,Black or African American,No,35-49,"$35,000 - 75,000",Suburban,Yes,No,Illinois,Yes,No,No,Yes,News apps or websites,Independent,No,No,Associate’s degree,No,No
94,1.0,3.2984147625649756e-113,1.0,0.0,Male,Black or African American,Yes,25-34,"< $35,000",Urban,No,No,California,No,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Independent,No,Yes,"1 or more years of college credit, no degree",No,No
95,1.0,2.386795934542959e-84,1.0,0.0,Female,Asian/Asian American,No,50-64,"$35,000 - 75,000",Suburban,No,No,California,Yes,No,No,Yes,Do not read/listen/watch the news,Republican,No,Yes,Associate’s degree,No,Yes
96,2.6904907010014154e-20,1.0,0.0,1.0,Female,Black or African American,No,50-64,"$35,000 - 75,000",Suburban,No,No,Wisconsin,No,No,No,No,Radio or podcasts,Democrat,No,No,High school or GED,No,No
97,1.0,4.710317686030473e-52,1.0,0.0,Female,White,No,35-49,"$35,000 - 75,000",Rural,Yes,No,Virginia,Yes,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Republican,No,Yes,Associate’s degree,No,Yes
98,4.966014949858136e-49,1.0,0.0,1.0,Female,Asian/Asian American,No,50-64,"$35,000 - 75,000",Suburban,No,No,Utah,Yes,Yes,No,Yes,Radio or podcasts,Republican,No,No,Some college credits,No,Yes
99,6.4491030805594295e-139,1.0,0.0,1.0,Female,Black or African American,No,35-49,"$35,000 - 75,000",Suburban,Yes,No,Illinois,Yes,No,No,No,TV (including cable),Democrat,No,No,High school or GED,No,No
100,1.0,1.0895268405980072e-125,1.0,0.0,Female,White,Yes,35-49,"$75,000 - 150,000",Suburban,Yes,Yes,Colorado,Yes,Yes,Yes,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Independent,Yes,Yes,Postgraduate degree,Yes,Yes
101,0.056535254075920555,0.9434647459240795,0.0,1.0,Female,American Indian or Native American or Alaskan Native,Yes,25-34,"< $35,000",Suburban,No,No,New York,No,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Independent,Yes,No,High school or GED,No,Yes
102,3.213348072145716e-249,1.0,0.0,1.0,Female,Black or African American,No,≥ 65,"$35,000 - 75,000",Urban,No,No,Maryland,Yes,Prefer not to answer,No,Yes,TV (including cable),Democrat,No,Yes,Undergraduate degree,No,Yes
103,2.0863961062417112e-22,1.0,0.0,1.0,Male,Prefer not to answer,Yes,50-64,"< $35,000",Urban,No,No,Oregon,Yes,No,No,Yes,TV (including cable),Independent,No,"NA (studying, retired, not in paid employment)",High school or GED,No,No
104,1.0,1.4312165139184307e-73,1.0,0.0,Female,Black or African American,No,≥ 65,"< $35,000",Rural,No,No,Georgia,Yes,Yes,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,No,Associate’s degree,No,No
105,1.0,4.42282056637216e-74,1.0,0.0,Male,Black or African American,No,35-49,"$35,000 - 75,000",Urban,No,No,Florida,Yes,No,Yes,Yes,TV (including cable),Democrat,No,No,"1 or more years of college credit, no degree",No,Yes
106,2.4327862953674724e-60,1.0,0.0,1.0,Male,Black or African American,No,35-49,"< $35,000",Suburban,Yes,No,Tennessee,Yes,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,No,High school or GED,No,No
107,1.0,3.7927751578973484e-54,1.0,0.0,Male,Black or African American,No,35-49,"< $35,000",Urban,No,No,Michigan,No,No,No,Yes,News apps or websites,Democrat,No,Yes,High school or GED,No,No
108,1.0,4.4980517728397116e-117,1.0,0.0,Female,Native Hawaiian or Pacific Islander,Yes,35-49,"< $35,000",Rural,No,No,California,No,No,No,Yes,News apps or websites,Other,Yes,Yes,Undergraduate degree,No,Yes
109,2.987574667894607e-182,1.0,0.0,1.0,Female,Black or African American,No,50-64,"< $35,000",Urban,No,No,Tennessee,No,No,No,Yes,TV (including cable),Independent,No,"NA (studying, retired, not in paid employment)",High school or GED,No,No
110,1.0,2.6858238038218923e-70,1.0,0.0,Female,Black or African American,No,35-49,"$35,000 - 75,000",Rural,Yes,No,Kentucky,No,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,Yes,Yes,Associate’s degree,No,Yes
111,6.137469171712037e-91,1.0,0.0,1.0,Female,Asian/Asian American,No,18-24,"< $35,000",Suburban,No,No,Michigan,No,No,No,No,Do not read/listen/watch the news,Democrat,Yes,Yes,High school or GED,Yes,Yes
112,4.4545500843988523e-32,1.0,0.0,1.0,Female,Black or African American,No,35-49,"$35,000 - 75,000",Rural,Yes,No,Alabama,No,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Republican,Yes,"NA (studying, retired, not in paid employment)",High school or GED,No,Yes
113,2.9249093356865105e-144,1.0,0.0,1.0,Female,Black or African American,No,35-49,"$35,000 - 75,000",Rural,Yes,No,Virginia,Yes,Yes,No,Yes,News apps or websites,Democrat,No,Yes,Undergraduate degree,No,Yes
114,6.108547279271333e-32,1.0,0.0,1.0,Female,American Indian or Native American or Alaskan Native,No,50-64,"< $35,000",Urban,No,No,Washington,Yes,No,No,Yes,TV (including cable),Democrat,No,No,High school or GED,No,Yes
115,2.4997515740052964e-118,1.0,0.0,1.0,Female,Black or African American,No,35-49,"< $35,000",Suburban,Yes,No,Illinois,Yes,No,Yes,Yes,TV (including cable),Democrat,No,No,High school or GED,No,Yes
